id,sex,employment,marital,income,social3
200001,1,employed,1,8068,.84768802
200002,1,employed,1,7484,0
200003,1,employed,0,12388,.61194766
200004,0,employed,1,77288,.50652641
200005,1,employed,1,9978,.64341581
200006,0,employed,1,9039,.62289715
200007,1,student,0,0,.83219028
200008,1,employed,1,6814,.94267058
200009,0,employed,0,58549,.505229
200010,1,unemployed,1,0,.18322541
200011,1,employed,1,11635,0
200012,1,employed,1,21750,.85290748
200013,1,retired,1,11813,.3279615
200014,1,retired,1,4628,.20071569
200015,1,student,0,7248,.18283232
200016,1,student,0,0,.86119974
200017,0,employed,1,18858,.9869681
200018,0,employed,1,15062,.6413635
200019,1,student,0,0,.76947957
200020,1,student,0,0,.9193064
200021,1,retired,1,37850,0
200022,0,student,0,0,.75398433
200023,1,employed,0,10829,0
200024,1,unemployed,1,0,.029892337
200025,1,employed,0,25617,0
200026,1,employed,1,28276,.19732994
200027,1,student,0,0,.92875892
200028,1,retired,1,8369,.22856481
200029,1,employed,1,13466,.28992432
200030,0,student,0,3256,.49672467
200031,1,employed,1,6850,.42190474
200032,1,student,0,0,.90759587
200033,0,employed,0,7474,.84039438
200034,1,employed,1,16645,.63607758
200035,1,employed,1,28206,.53928071
200036,1,employed,0,14844,0
200037,0,retired,1,38923,.22488813
200038,0,employed,1,4427,.97803867
200039,1,employed,0,5865,.69304335
200040,1,retired,1,4577,.003431804
200041,1,employed,1,5551,0
200042,0,retired,1,4851,0
200043,0,unemployed,0,0,0
200044,1,employed,1,15086,0
200045,1,employed,0,33021,.33568752
200046,1,employed,1,7224,.46816704
200047,1,student,0,6818,.90814066
200048,0,unemployed,1,0,.036562975
200049,1,unemployed,0,42417,.25161391
200050,1,employed,1,16073,.27231753
200051,1,student,0,0,.93909031
200052,0,retired,0,17589,.33670503
200053,1,student,0,10161,.78259033
200054,1,retired,0,11736,.28174424
200055,1,retired,1,3607,.15414122
200056,0,unemployed,1,14738,.53088695
200057,1,student,1,0,.84302932
200058,1,employed,1,13241,.54753381
200059,0,employed,1,6753,.28487739
200060,0,student,0,0,.11595902
200061,1,employed,0,13532,.51830399
200062,0,employed,0,5798,.6598236
200063,1,employed,1,26357,0
200064,1,retired,0,5797,.31966716
200065,1,student,0,0,.89806831
200066,1,employed,1,13302,.53168702
200067,1,retired,0,16948,.065941967
200068,0,unemployed,0,38035,0
200069,1,retired,1,28971,.24894574
200070,0,employed,1,6588,.58436596
200071,1,employed,0,8402,.54306668
200072,1,employed,1,5840,.16112363
200073,1,unemployed,1,0,.54528922
200074,0,employed,0,6693,.85023922
200075,1,unemployed,1,9589,.63926792
200076,1,employed,1,10530,.35924542
200077,1,student,1,0,.95517248
200078,1,unemployed,1,0,.068020672
200079,0,employed,1,96640,.66242903
200080,1,employed,1,43598,.17040731
200081,1,employed,1,11571,.83326334
200082,0,student,0,0,.75356853
200083,1,employed,0,11159,.36379826
200084,1,retired,0,10678,0
200085,1,employed,1,8078,.051750038
200086,1,retired,1,4691,.12001376
200087,1,employed,0,14178,0
200088,1,student,0,11428,0
200089,0,employed,1,7808,0
200090,1,student,0,0,.82344431
200091,1,employed,1,15559,0
200092,1,retired,1,50791,0
200093,0,employed,1,14421,.34369907
200094,1,employed,1,192526,.33768862
200095,1,employed,1,36682,.010496804
200096,1,employed,1,15030,0
200097,0,student,0,42106,.69377637
200098,1,employed,1,17263,.74065006
200099,1,student,0,0,0
200100,1,employed,1,7285,.94652349
200101,1,employed,1,23491,.67406213
200102,0,employed,1,9484,0
200103,1,retired,1,7842,.13079935
200104,1,employed,0,46414,.31401655
200105,1,employed,1,11012,.13107888
200106,0,student,0,0,.1163708
200107,0,retired,0,8070,.23107859
200108,1,student,0,0,.4547323
200109,1,employed,1,28189,.5617252
200110,1,unemployed,1,0,.62247282
200111,1,retired,1,10441,.2655839
200112,0,employed,0,13040,.31487837
200113,1,employed,1,16473,0
200114,1,employed,1,17564,.65537125
200115,0,employed,0,9476,.67530906
200116,0,retired,0,9984,.23214002
200117,1,employed,0,34156,.59783185
200118,1,employed,1,7224,.85640717
200119,1,employed,1,5804,.59471262
200120,1,retired,1,7389,.23010406
200121,0,employed,0,12398,0
200122,1,employed,0,13441,.80987972
